road_name,road_type_raw,road_category,road_length_meters,latitude,longitude
,residential,Inner Road,22.07682794930888,16.567999999999998,80.63230904999999
,residential,Inner Road,12.711509626444322,16.56787522902212,80.63229697706261
,residential,Inner Road,99.88335348033135,16.567795297249422,80.63195354758645
,residential,Inner Road,27.06555107042637,16.56782355,80.6292533
,residential,Inner Road,45.13730876502688,16.568009739696993,80.62910378031151
,residential,Inner Road,26.62131261965684,16.567882106017667,80.62941113572072
,secondary,Main Road,33.30137340185793,16.568127858245127,80.63044611280608
,secondary,Main Road,28.917565240351294,16.56787979053776,80.63031167804334
,residential,Inner Road,166.15708493757577,16.567658495339593,80.63106545287094
,residential,Inner Road,54.425942576841734,16.5682158,80.63314965000001
,tertiary,Main Road,7.596265669052006,16.56799075,80.6330262
,tertiary,Main Road,31.954510463379002,16.568123002032138,80.6329020508927
,residential,Inner Road,27.204073788247808,16.56797405,80.62885925
,residential,Inner Road,143.60321379475002,16.568315934478676,80.62827806680724
,residential,Inner Road,45.13730876502689,16.568009739696997,80.62910378031152
,secondary,Main Road,27.653122977066538,16.568330466431366,80.63062670200934
,secondary,Main Road,33.30137340185793,16.568127858245127,80.63044611280608
,residential,Inner Road,27.550947780868213,16.568314312207658,80.63040420415501
,residential,Inner Road,12.615611447634192,16.5684257,80.63205945
,residential,Inner Road,33.87279556537419,16.568514294320305,80.63033309001818
,residential,Inner Road,41.57720193651859,16.568391365176296,80.63009645042976
,residential,Inner Road,27.550947780868213,16.568314312207654,80.63040420415501
,residential,Inner Road,94.72601176565853,16.567968899999997,80.633633
,residential,Inner Road,9.593631787912686,16.56843415,80.63071339999999
,secondary,Main Road,87.11286801331029,16.56850627191324,80.63111781108098
,secondary,Main Road,27.653122977066545,16.568330466431366,80.63062670200934
,residential,Inner Road,41.57720193651859,16.568391365176296,80.63009645042975
,residential,Inner Road,54.425942576841734,16.5682158,80.63314965000001
,tertiary,Main Road,8.725415315299983,16.5684707,80.63253470000001
,residential,Inner Road,45.349044177013184,16.5682678633609,80.63245683263091
,tertiary,Main Road,34.730251174637786,16.56833402354809,80.63268046213405
,residential,Inner Road,9.593631787912686,16.56843415,80.63071339999999
,residential,Inner Road,39.77780988184991,16.568577051507898,80.63054234751456
,residential,Inner Road,88.37603148660094,16.568754000348534,80.63093062837883
,residential,Inner Road,25.966112405316704,16.568528399999998,80.63197895
,residential,Inner Road,12.615611447634192,16.5684257,80.63205945
,residential,Inner Road,35.9632630835761,16.5686179,80.63216775000001
,residential,Inner Road,113.58405354580957,16.568913350000003,80.6328154
,tertiary,Main Road,8.725415315299983,16.5684707,80.63253470000001
,tertiary,Main Road,30.114914623046953,16.568599534295615,80.63241185662324
,residential,Inner Road,25.966112405316704,16.568528399999998,80.63197895
,residential,Inner Road,28.023994902885214,16.56877339200042,80.6304360189282
,residential,Inner Road,33.87279556537419,16.56851429432031,80.63033309001817
,residential,Inner Road,70.71420430036895,16.56880186563513,80.63008291886875
,residential,Inner Road,39.777809881849905,16.56857705150789,80.63054234751453
,secondary,Main Road,6.964780253728392,16.568725999999998,80.63148815
,residential,Inner Road,26.48614022110953,16.56877396648892,80.63136439160988
,secondary,Main Road,87.11286801331029,16.568506271913236,80.63111781108098
,residential,Inner Road,106.98127941003328,16.569105299999997,80.6325922
,tertiary,Main Road,10.011285217748636,16.568729963989753,80.63228267126375
,tertiary,Main Road,30.114914623046953,16.568599534295615,80.63241185662324
,secondary,Main Road,6.964780253728392,16.568725999999998,80.63148815
,residential,Inner Road,47.407158924889245,16.56857223923498,80.63158943725084
,secondary,Main Road,58.41349098817333,16.568936813691472,80.63170089717124
,residential,Inner Road,35.9632630835761,16.5686179,80.63216775000001
,tertiary,Main Road,8.286462304530998,16.5687871,80.632221
,tertiary,Main Road,10.011285217748636,16.568729963989753,80.63228267126375
,residential,Inner Road,128.56390061076496,16.56829577854758,80.63353565124444
,residential,Inner Road,103.97990012574112,16.56920985,80.63245370000001
,tertiary,Main Road,8.286462304530998,16.5687871,80.632221
,tertiary,Main Road,48.95646423591726,16.56897355021105,80.63203636273894
,residential,Inner Road,26.48614022110953,16.56877396648892,80.63136439160988
,residential,Inner Road,68.15945704337562,16.569107099102535,80.63137323419929
,residential,Inner Road,88.37603148660094,16.568754000348534,80.63093062837883
,residential,Inner Road,112.87617496860285,16.569235259588833,80.63087531018625
,residential,Inner Road,28.023994902885214,16.56877339200042,80.6304360189282
,residential,Inner Road,107.59058090397511,16.569341602775957,80.63044180923733
,residential,Inner Road,120.70538847576661,16.5694328,80.63000355
,residential,Inner Road,33.86514522324272,16.568983342492714,80.62963397755546
,residential,Inner Road,170.74463638680353,16.56866660829001,80.6294747176166
,residential,Inner Road,70.71420430036895,16.56880186563513,80.63008291886875
,residential,Inner Road,45.40365175468943,16.569235023376358,80.62960898859758
,residential,Inner Road,33.86514522324272,16.568983342492714,80.62963397755546
,residential,Inner Road,170.7446363868035,16.568666608290012,80.62947471761659
,secondary,Main Road,43.77341982593214,16.569286383386526,80.63201184580201
,tertiary,Main Road,48.95646423591727,16.56897355021105,80.63203636273894
,secondary,Main Road,58.41349098817332,16.568936813691472,80.63170089717124
,residential,Inner Road,51.79000605382691,16.56927252888616,80.63168507888733
,residential,Inner Road,113.58405354580957,16.568913350000003,80.6328154
,residential,Inner Road,103.97990012574112,16.56920985,80.63245370000001
,residential,Inner Road,106.98127941003328,16.569105299999997,80.6325922
,residential,Inner Road,68.15945704337561,16.569107099102535,80.63137323419929
,residential,Inner Road,33.713094339592814,16.569494734382005,80.63135978681635
,residential,Inner Road,51.79000605382691,16.56927252888616,80.63168507888733
,residential,Inner Road,86.08909787164745,16.569703017136607,80.6318463787302
,secondary,Main Road,43.77341982593214,16.569286383386526,80.63201184580201
,secondary,Main Road,72.20540345387047,16.56969935568181,80.63234412988746
,residential,Inner Road,216.50536973931128,16.56983975,80.6287754
,residential,Inner Road,45.40365175468943,16.569235023376358,80.62960898859758
,residential,Inner Road,70.47318746299548,16.569707913350335,80.6298373897755
,residential,Inner Road,51.44031014083191,16.569773268515494,80.6313948349954
,residential,Inner Road,112.87617496860283,16.56923525958883,80.63087531018625
,residential,Inner Road,74.80207132846331,16.569767465100636,80.63094075675968
,residential,Inner Road,33.713094339592814,16.569494734382005,80.63135978681635
,residential,Inner Road,38.446089290336666,16.5698648,80.63039115000001
